timestamp,node_id,short_name,long_name,latitude,longitude,altitude,rssi,snr,hw_model
2025-10-24T11:50:14.965313,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:50:14.966006,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:50:14.966106,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:50:14.966168,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:50:14.966225,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:50:26.543628,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:50:26.543771,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:50:26.543836,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:50:26.543897,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:50:26.543956,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:50:38.110217,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:50:38.110354,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:50:38.110420,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:50:38.110492,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:50:38.110558,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:50:49.646799,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:50:49.646935,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:50:49.647001,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:50:49.647058,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:50:49.647112,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:01.240265,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:01.240389,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:01.240440,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:01.240480,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:01.240517,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:12.831076,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:12.831202,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:12.831272,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:12.831344,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:12.831416,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:24.382981,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:24.383108,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:24.383165,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:24.383211,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:24.383255,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:35.921946,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:35.922084,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:35.946488,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:35.946630,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:35.946769,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:47.539219,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:47.539343,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:47.539408,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:47.539483,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:47.539549,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:51:59.150031,!ba6ca858,a858,Meshtastic a858,42.3887,-71.2245,44,,-8,UNSET
2025-10-24T11:51:59.150167,!18a46a1b,6a1b,Meshtastic 6a1b,,,,,6,UNSET
2025-10-24T11:51:59.150223,!2c262af4,2af4,Meshtastic 2af4,,,,,6,UNSET
2025-10-24T11:51:59.150270,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-20,UNSET
2025-10-24T11:51:59.150314,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:59:56.517935,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T11:59:56.518105,!ae44547c,547c,Meshtastic 547c,42.3352,-71.1578,,,6,UNSET
2025-10-24T12:00:08.056735,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631
2025-10-24T12:00:08.056855,!ae44547c,547c,Meshtastic 547c,42.3352,-71.1578,,,6,UNSET
