timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:10:26.074372,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:10:26.074505,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:10:26.074558,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:10:26.074601,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:10:26.074639,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:10:39.007141,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:10:39.007267,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:10:39.007323,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:10:39.007370,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:10:39.007415,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:10:52.240676,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:10:52.240805,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:10:52.240854,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:10:52.240896,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:10:52.240933,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:11:05.413235,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:11:05.413342,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:11:05.413392,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:11:05.413435,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:11:05.413477,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:11:18.613063,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:11:18.613173,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:11:18.613229,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:11:18.613275,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:11:18.613317,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
